category,state,name,available,description,phone,text,website
state,NJ,NJ Kinship Navigator Program,Mon–Fri 9am–5pm,Support for grandparents and relatives raising children,1-877-687-2227,,https://www.nj.gov/njparentlink
state,NJ,NJ Legal Services Hotline,Mon–Fri 9am–5pm,Free civil legal help for low-income residents,1-888-576-5529,,https://www.lsnj.org
state,NJ,NJ Office of Victim-Witness Advocacy,Mon–Fri 9am–5pm,Help navigating the criminal justice system,1-609-984-4228,,https://www.njoag.gov
state,NY,NY Elder Abuse Helpline,Mon–Fri 9am–5pm,Help for elder abuse and neglect statewide,1-844-697-3505,,https://aging.ny.gov
state,NY,NY State HOPE Resource Directory (Non-Emergency Line),24/7,Access to domestic violence and survivor services,,,https://www.ny.gov/NYHope
state,NY,NY State Justice Center Hotline,24/7,Reporting abuse of people with disabilities,1-855-373-2122,,https://www.justicecenter.ny.gov
state,NY,NY State Office of Mental Health Consumer Warm Line,24/7,Peer support for mental health concerns,1-800-236-7323,,https://omh.ny.gov
state,NY,NY State Parent Helpline,Mon–Fri 9am–6pm,Emotional support for parents and caregivers,1-800-342-7472,,https://www.parenthelpline.org
state,NY,NYC Family Justice Center Hotline,Mon–Fri 9am–5pm,Legal and counseling help for families experiencing violence,1-800-621-4673,,https://www.nyc.gov/site/ocdv
state,NY,NYC Well,24/7,"Free, confidential mental health support for New York City.",1-888-692-9355,Text WELL to 65173,https://nycwell.cityofnewyork.us/
state,NY,NYC Well Substance Use Helpline,24/7,Help for substance use and addiction services in NYC,1-888-692-9355,,https://nycwell.cityofnewyork.us
state,NJ,Parents Inc of New Jersey ,24/7,The Family Helpline is a free 24/7 support line offering confidential help and guidance to New Jersey families.,1-800-843-5437,1-800-843-5438,https://parentsincofnj.org/programs/helpline
state,NJ,PerformCare NJ,24/7,Mental health and substance use services for children and adolescents,1-877-652-7624,,https://www.performcarenj.org
national,,Postpartum Support International Helpline,Mon–Fri 8am–11pm ET; Sat–Sun 8am–8pm ET,Support for postpartum depression and perinatal mental health,1-800-944-4773,Text “Help” to 1-800-944-4773,https://www.postpartum.net
state,NJ,NJ Safe Haven Infant Protection Hotline ,24/7,Confidential hotline providing information on safely surrendering an unharmed newborn at designated Safe Haven locations in New Jersey,1-877-839-2339,,"https://www.nj.gov/njsafehaven/faqs/#:~:text=The%20parent%20can%20call%20the,rescue%20squad%20in%20the%20state."
state,NY,Safe Horizon Hotline,24/7,Support for victims of crime and abuse in NYC,1-800-621-4673,,https://www.safehorizon.org
national,,SAMHSA National Helpline,24/7,Treatment referral and information for substance use and mental health disorders.,1-800-662-4357,,https://www.samhsa.gov/find-help/helplines/national-helpline
national,,StrongHearts Native Helpline,24/7,Domestic violence support for Native and Indigenous communities,1-844-762-8483,,https://strongheartshelpline.org
national,,Trans Lifeline,24/7,Peer support hotline run by and for transgender and questioning individuals,1-877-565-8860,,https://translifeline.org
state,NJ,Traumatic Loss Coalition Helpline,24/7,Support for NJ residents coping with traumatic loss,1-888-855-4334,,https://tlcnj.org
national,,Trevor Project (LGBTQ Youth),24/7,Crisis intervention and suicide prevention for LGBTQ young people,1-866-488-7386,Text START to 678-678,https://www.thetrevorproject.org/
national,,Veterans Women Call Center,Mon–Fri 8am–10pm ET,Support for women veterans and families,1-855-829-6636,,https://www.va.gov/womenvet
national,,Veterns Crisis Line,24/7,"Confidential support for Veterans, service members, and their families.",988 (Press 1),Text 838255,https://www.veteranscrisisline.net
state,NJ,Women's Referral Central Hotline,24/7,"Hotline provides comprehensive information, referrals, active listening, and crisis response for issues confronting New Jersey residents",1-800-322-8092,,
national,,Workplace Fairness Helpline,Mon–Fri 9am–6pm ET,Guidance on workplace rights and discrimination,1-866-653-3052,,https://www.workplacefairness.org
national,,YouthLine,4pm–10pm PT daily; adults 24/7,Peer-to-peer crisis and support line for youth,1-877-968-8491,Text teen2teen to 839863,https://www.oregonyouthline.org
